what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1341162551930
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341162551956
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1341162552300
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552526
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162552557
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162552777
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552790
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552803
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552809
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552822
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552827
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552832
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552839
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552848
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552854
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162552866
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1341162552870
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341162552886
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1341162553257
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341162553305
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162555017
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1341162556541
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341162556570
error,log,,,"Unhandled event loop exception",1341162559848
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341162570776
error,log,,,"Unhandled event loop exception",1341162571650
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162573749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162574966
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162575308
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162577503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577638
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162577849
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577862
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577871
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577875
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162577890
error,log,,,"An unexpected exception was thrown.",1341162578328
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162578381
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1341162578429
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1341162579158
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1341162579159
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1341162579159
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1341162579159
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1341162579159
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1341162579159
