what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.101.R37x_v20110714,"org.eclipse.equinox.p2.artifact.repository",1341162356351
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.1.1.R37x_v20110815-0935,"org.eclipse.equinox.p2.touchpoint.eclipse",1341162356545
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341162357161
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341162357395
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1341162357431
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1341162359579
error,log,,,"No repository found at jar:file:/home/arnaud/Downloads/site-1.6.18.zip!/.",1341162365746
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162365873
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162368876
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1341162372432
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProgressView",1341162372463
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.update",1341162376313
error,log,,,"Provisioning exception",1341162376315
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162376680
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162383256
error,log,,,"No repository found at jar:file:/home/arnaud/Downloads/site-1.6.18.zip!/.",1341162383551
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162383599
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162383753
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162384179
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162386266
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162390035
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.window.preferences",1341162418737
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162418755
error,log,,,"Provisioning exception",1341162421819
error,log,,,"No repository found at jar:file:/home/arnaud/Downloads/site-1.6.18.zip!/.",1341162421819
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1341162422246
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20110502-1955,"org.eclipse.equinox.frameworkadmin",1341162438689
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20110502-1955,"org.eclipse.equinox.simpleconfigurator.manipulator",1341162438709
